,Movie,Year,Duration,Rating,Voting,Description
72,I,2015,3h 8m,7.4,"22,950","<div class=""ipc-html-content-inner-div"">A deformed hunchback kidnaps a bride on the day of her marriage and holds her hostage while his connection to her and his targets is revealed in a series of flashbacks that unfold as he starts seeking revenge.</div>"
73,Captain Miller,2024,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Set in 1930s-1940s in Bristish India and follows an outlaw called miller who engages in bloody loots,heists and assaults.</div>"
74,Anbe Sivam,2003,2h 40m,8.6,"24,829","<div class=""ipc-html-content-inner-div"">Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.</div>"
75,Dheepan,2015,1h 55m,7.2,"16,631","<div class=""ipc-html-content-inner-div"">Dheepan is a Sri Lankan Tamil warrior who flees to France and ends up working as a caretaker outside Paris.</div>"
76,Anniyan,2005,3h 1m,8.3,"20,597","<div class=""ipc-html-content-inner-div"">Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial elements.</div>"
77,Demon,2023,2h 2m,6.4,157,"<div class=""ipc-html-content-inner-div"">Haunted by Horrific Dreams, Vignesh Shivan is Surrounded by Thoughts of His Dreams and All the Mystrious Events That Happen in It.these Thoughts Affect Him Mentally.</div>"
78,Indian 2,2024,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Senapathy, an ex-freedom fighter turned vigilante who fights against corruption. Senapathy returns to the country to aid a young man who has been exposing corrupt politicians in the country through videos on the internet.</div>"
79,Peranbu,2018,2h 27m,8.7,"15,874","<div class=""ipc-html-content-inner-div"">A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.</div>"
80,Theeran Adhigaram Ondru,2017,2h 37m,8.2,"16,438","<div class=""ipc-html-content-inner-div"">Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern.</div>"
81,Iraivi,2016,2h 40m,8.0,"3,624","<div class=""ipc-html-content-inner-div"">A drama about an alcoholic filmmaker and his friends who bring trouble to the women in their lives.</div>"
82,Asvins,2023,1h 51m,4.7,909,"<div class=""ipc-html-content-inner-div"">A group of Youtubers who accidentally unleash a 1500-year-old evil that crosses over from the realm of darkness to the human world.</div>"
83,Petta,2019,2h 51m,7.1,"11,593","<div class=""ipc-html-content-inner-div"">A hostel warden becomes the target of a dreaded politician and his gangster son, but little do they realize that it is they who should fear him.</div>"
84,Let's Get Married,2023,2h 32m,4.7,582,"<div class=""ipc-html-content-inner-div"">Gowtham and Meera, an intertwined couple who share both a workplace and a romantic bond that has flourished for a span exceeding two years, stand at the precipice of a transformative moment.</div>"
85,Mahaan,2022,2h 43m,7.6,"17,279","<div class=""ipc-html-content-inner-div"">Gandhi Mahaan, a school teacher, is abandoned by his family after he decides to live a life of his own, with personal freedom.</div>"
86,Thani Oruvan,2015,2h 40m,8.4,"21,236","<div class=""ipc-html-content-inner-div"">Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.</div>"
87,Thevar Magan,1992,2h 25m,8.7,"7,851","<div class=""ipc-html-content-inner-div"">The urbane son of a village chieftain struggles between his personal aspirations and those of his family.</div>"
88,Roja,1992,2h 17m,8.1,"13,541","<div class=""ipc-html-content-inner-div"">A woman from a village in Tamil Nadu marries a sophisticated city dweller and moves with him to Kashmir, where all is rosy - until he gets kidnapped by militants.</div>"
89,Varalaaru,2006,2h 46m,7.3,"3,587","<div class=""ipc-html-content-inner-div"">Shivshankar, a wheelchair-bound man, tries to make his son Vishnu aware of his responsibilities but to no avail. Things take a turn for the worse after Vishnu starts stealing and tries to rape a girl.</div>"
90,Ayodhi,2023,2h 1m,8.3,"3,248","<div class=""ipc-html-content-inner-div"">On their journey to Rameswaram, a family from North India gets involved in a series of mishaps until a stranger decides to help them out</div>"
91,Soodhu Kavvum,2013,2h 15m,8.3,"11,279","<div class=""ipc-html-content-inner-div"">Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case.</div>"
